,ident,type,name,latitude_deg,longitude_deg,iata_code,state,county
0,K67L,medium_airport,Mesquite International Airport,36.833105,-114.055928,MFH,Nevada,Clark
1,KABQ,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,ABQ,New Mexico,Bernalillo
2,KAFW,medium_airport,Fort Worth Alliance Airport,32.99044,-97.31947,AFW,Texas,Tarrant
3,KALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,ALB,New York,Albany
4,KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,ALS,Colorado,Alamosa
5,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,AMA,Texas,Potter
6,KARA,medium_airport,Acadiana Regional Airport,30.0378,-91.883904,ARA,Louisiana,Iberia Parish
7,KASE,medium_airport,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,ASE,Colorado,Pitkin
8,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,ATL,Georgia,Clayton
9,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,AUS,Texas,Travis
10,KAUW,medium_airport,Wausau Downtown Airport,44.9262008667,-89.6266021729,AUW,Wisconsin,Marathon
11,KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.3385009766,-75.72339630130001,AVP,Pennsylvania,Lackawanna
12,KBCE,medium_airport,Bryce Canyon Airport,37.706401825,-112.144996643,BCE,Utah,Garfield
13,KBDL,medium_airport,Bradley International Airport,41.93851,-72.688066,BDL,Connecticut,Hartford
14,KBED,medium_airport,Laurence G Hanscom Field,42.47000122,-71.28900146,BED,Massachusetts,Middlesex
15,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,BGM,New York,Broome
16,KBHM,medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,BHM,Alabama,Jefferson
17,KBIH,medium_airport,Eastern Sierra Regional Airport,37.3731002808,-118.363998413,BIH,California,Inyo
18,KBIS,medium_airport,Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,BIS,North Dakota,Burleigh
19,KBJI,medium_airport,Bemidji Regional Airport,47.50939941,-94.93370056,BJI,Minnesota,Beltrami
20,KBKE,medium_airport,Baker City Municipal Airport,44.8372993469,-117.808998108,BKE,Oregon,Baker
21,KBKL,medium_airport,Burke Lakefront Airport,41.51750183105469,-81.68329620361328,BKL,Ohio,Cuyahoga
22,KBNO,medium_airport,Burns Municipal Airport,43.5918998718,-118.955001831,BNO,Oregon,Harney
23,KBOI,medium_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,BOI,Idaho,Ada
24,KBOS,large_airport,Logan International Airport,42.3643,-71.005203,BOS,Massachusetts,Suffolk
25,KBPK,medium_airport,Ozark Regional Airport,36.3689002991,-92.4704971313,WMH,Arkansas,Baxter
26,KBPT,medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,BPT,Texas,Jefferson
27,KBRD,medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,BRD,Minnesota,Crow Wing
28,KBTL,medium_airport,Battle Creek Executive Airport at Kellogg Field,42.307301,-85.251503,BTL,Michigan,Calhoun
29,KBTV,medium_airport,Burlington International Airport,44.471901,-73.153297,BTV,Vermont,Chittenden
30,KBVY,medium_airport,Beverly Regional Airport,42.584202,-70.916496,BVY,Massachusetts,Essex
31,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,BWI,Maryland,Anne Arundel
32,KBYI,medium_airport,Burley Municipal Airport,42.5425987244,-113.772003174,BYI,Idaho,Cassia
